province,num_hhmember,number_slept_under_itn,under_5,five_to_nineteen,nineteen_plus,num_under_5_slept_under_net,num_under_5,percent_slept_under_nets,percent_kids_slept_under_nets,all_slept_under_net,rural,wealth_quintile,raw_weight_hh,true_cluster,strata_id,fpc,fpc2,itns_in_hh,llins_in_hh,irs,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea,very_high_irs_in_ea,high_irs_in_ea,medium_irs_in_ea,low_irs_in_ea,very_low_irs_in_ea,people_per_net,nets_per_people,one_net_per_2_people,full_cover_or_irs_or_all_under_nets,all_kids_slept_under_net,itn_2_1_coverage_and_irs,itn_2_1_coverage_or_irs
Eastern,6,3,1,1,1,1,1,0.5,1,0,Rural,2,441.381958,57,20,0.010673986,0.217391297,2,1,1,1,1,2,1,1,0,2,2,1,1,1,1,1,1,84,5,1,0,0,0,0,3,0.333333333,0,1,1,0,1
Southern,1,1,#NAME?,#NAME?,1,0,0,1,NA,1,Rural,4,882.3082886,171,19,0.008669267,0.078125,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,38.0952381,2,0,0,0,1,0,1,1,1,1,NA,0,1
Western,2,2,#NAME?,#NAME?,1,0,0,1,NA,1,Rural,1,487.8677063,182,15,0.009014085,0.161971837,1,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,26.08695652,2,0,0,0,1,0,2,0.5,1,1,NA,1,1
Southern,5,5,1,1,1,2,2,1,1,1,Rural,4,676.9153442,160,19,0.008669267,0.186274514,2,2,0,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,2.5,0.4,0,1,1,0,0
Northern,3,0,#NAME?,1,1,0,0,0,NA,0,Rural,1,335.6497192,140,16,0.008608972,0.127167627,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,59.09090909,3,0,0,1,0,0,NA,0,0,1,NA,0,1
Eastern,3,0,1,#NAME?,1,0,1,0,0,0,Rural,3,490.130249,41,20,0.010673986,0.118811883,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,72.72727273,4,0,1,0,0,0,NA,0,0,1,0,0,1
Southern,6,5,1,1,1,1,1,0.833333333,1,0,Rural,4,460.5774536,172,19,0.008669267,0.137724549,3,3,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,65.2173913,4,0,1,0,0,0,2,0.5,1,1,1,1,1
Copperbelt,7,6,1,1,1,2,3,0.857142857,0.666666667,0,Rural,4,453.1447144,28,9,0.009740259,0.303030312,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,76,4,0,1,0,0,0,3.5,0.285714286,0,1,0,0,1
Eastern,3,0,1,#NAME?,1,0,1,0,0,0,Rural,4,541.4136963,69,20,0.010673986,0.157534242,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,69.23076923,4,0,1,0,0,0,NA,0,0,1,0,0,1
Luapula,8,0,1,1,1,0,3,0,0,0,Rural,4,654.0604248,78,18,0.01005291,0.198347107,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33.33333333,2,0,0,0,1,0,NA,0,0,1,0,0,1
Northern,3,0,1,#NAME?,1,0,1,0,0,0,Rural,1,444.9024048,144,16,0.008608972,0.260869563,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,95.83333333,5,1,0,0,0,0,NA,0,0,1,0,0,1
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,3,346.9143982,62,20,0.010673986,0.223300964,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52.17391304,3,0,0,1,0,0,NA,0,0,0,NA,0,0
Luapula,5,0,#NAME?,1,1,0,0,0,NA,0,Rural,2,1017.982971,73,18,0.01005291,0.129032254,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,0,0,1,0,0,NA,0,0,0,NA,0,0
Copperbelt,4,1,1,1,1,0,1,0.25,0,0,Urban,4,1188.17041,34,11,0.004253509,0.155688629,1,0,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,0,1,56,3,0,0,1,0,0,4,0.25,0,0,0,0,0
Southern,3,2,#NAME?,1,1,0,0,0.666666667,NA,0,Rural,2,643.9437866,175,19,0.008669267,0.216981128,2,2,0,4,1,2,1,1,1,2,0.5,0,1,1,1,0,1,8.695652174,1,0,0,0,0,1,1.5,0.666666667,1,0,NA,0,1
Eastern,2,0,#NAME?,1,1,0,0,0,NA,0,Urban,4,1661.061035,70,6,0.004081632,0.203703701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2,0,0,0,1,0,NA,0,0,0,NA,0,0
Eastern,4,3,1,1,1,1,1,0.75,1,0,Rural,1,505.5463867,48,20,0.010673986,0.273809522,1,0,1,4,1,1,0,0,0,1,0.25,0,1,0,1,1,1,43.47826087,3,0,0,1,0,0,4,0.25,0,1,1,0,1
Muchinga,3,0,#NAME?,1,1,0,0,0,NA,0,Rural,1,454.8388367,113,14,0.008843537,0.568181813,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,88,5,1,0,0,0,0,NA,0,0,1,NA,0,1
Copperbelt,6,0,1,1,1,0,1,0,0,0,Rural,2,443.9248962,30,9,0.009740259,0.115207374,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4,0,1,0,0,0,NA,0,0,0,0,0,0
